Previous Name,New Name
Feature: Validation Function - Leakage Compensation for Children,Feature: Leakage Compensation For Children
Feature: Validation Function - Display Brightness and Alarm LEDs for Adults,Feature: Display Brightness And Alarm LEDs For Adults
Feature: Validation Function - Tube Compensation for Adults,Feature: Tube Compensation For Adults
Feature: Validation Function - Cuffscout for Children,Feature: Cuffscout For Children
Feature: Validation Function - Display Brightness and Alarm LEDs for Children,Feature: Display Brightness And Alarm LEDs For Children
Feature: Validation Function - APD for Children,Feature: APD For Children
Feature: Validation Function - Alarm Loudness for Children,Feature: Alarm Loudness For Children
Feature: Validation Setup of Functions for Children,Feature: Setup Functions For Children
Feature: Validation Function - Nebulizer (Roll Out To Experiment) For Children,Feature: Nebulizer (Without Simulation) For Children
Feature: Validation Setup of Functions for Neonates,Feature: Setup Functions for Neonates
Feature: Validation Function - Nebulizer for Children,Feature: Nebulizer For Children
Feature: Validation Function - Tube Compensation for Children,Feature: Tube Compensation For Children
Feature: Validation Function - Nebulizer for Adults,Feature: Nebulizer For Adults
Feature: Validation Function - Hygiene Management for Adults,Feature: Hygiene Management For Adults
Feature: Validation Function - Alarm Loudness for Adults,Feature: Alarm Loudness For Adults
Feature: Validation Function - Nebulizer (Roll Out To Experiment) For Adults,Feature: Nebulizer (Without Simulation) For Adults
Feature: Validation Function - Cuffscout for Neonates,Feature: Cuffscout For Neonates
Feature: Validation Function - Display Brightness and Alarm LEDs for Neonates,Feature: Display Brightness And Alarm LEDs For Neonates
Feature: Validation Function - Alarm Loudness for Neonates,Feature: Alarm Loudness For Neonates
Feature: Validation Function - APD for Neonates,Feature: APD For Neonates
Feature: Validation Function - Interactive Tests for Children,Feature: Interactive Function Tests For Children
Feature: Validation Function - APD for Adults,Feature: APD For Adults
Feature: Validation Function - Cuffscout for Adults,Feature: Cuffscout For Adults
Feature: Validation Function - Interactive Tests for Adults,Feature: Interactive Function Tests For Adults
Feature: Validation Function - Leakage Compensation for Neonates,Feature: Leakage Compensation For Neonates
Feature: Validation Function - Tube Compensation for Neonates,Feature: Tube Compensation For Neonates
Feature: Validation Setup of Functions for Adults,Feature: Setup Functions For Adults
Feature: Validation Function - Interactive Tests for Neonates,Feature: Interactive Function Tests For Neonates
Feature: Validation Function - Nebulizer for Neonates,Feature: Nebulizer For Neonates
Feature: Validation Function - Nebulizer (Roll Out To Experiment) For Neonates,Feature: Nebulizer (Without Simulation) For Neonates
Feature: Validation Function - Hygiene Management for Neonates,Feature: Hygiene Management For Neonates
Feature: Validation Function - Leakage Compensation for Adults,Feature: Leakage Compensation For Adults
Feature: Validation Function - Hygiene Management for Children,Feature: Hygiene Management For Children
